Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000100373,UPK3A,0.0011410255647993862,-5.941133157525899,1.4976865143700254e-44,0.07997566981263877,5.941133157525899,1.4976865143700254e-44
ENSG00000100376,FAM118A,0.1080714213517133,-0.15364402138928668,0.6789915522429738,0.12025118698447125,0.15364402138928668,0.6789915522429738
ENSG00000077935,SMC1B,0.0016300365211419803,-0.6820961164359343,0.5611482904698867,0.0027329815223743467,0.6820961164359343,0.5611482904698867
ENSG00000128408,RIBC2,0.003586080346512357,0.3820342209837815,0.6321515416748643,0.0027329815223743467,-0.3820342209837815,0.6321515416748643
ENSG00000077942,FBLN1,0.00032600730422839607,-0.8195996401858672,0.7774986122558631,0.0007192056637827228,0.8195996401858672,0.7774986122558631
ENSG00000280383,Z95331.1,0.048086077373688425,0.6283024929986034,0.09391216153410274,0.031069684675413625,-0.6283024929986034,0.09391216153410274
ENSG00000130638,ATXN10,0.42087542975885933,-0.23212154154592857,0.5018509881452441,0.49438197328424366,0.23212154154592857,0.5018509881452093
ENSG00000279954,BX324167.2,0.00016300365211419803,1.1804003598141328,0.6109898784243833,0.0,-1.1804003598141328,0.6109898784243833
ENSG00000235091,BX324167.1,0.0004890109563425941,-0.6269545622434727,0.6647403567740686,0.0008630467965392673,0.6269545622434727,0.6647403567740686
ENSG00000188064,WNT7B,0.003097069390169763,0.9173659539803385,0.32032788848517807,0.00158225246032199,-0.9173659539803385,0.32032788848517807
ENSG00000273145,BX537318.1,0.007335164345138912,0.0035225977300532563,1.0,0.007335897770583772,-0.0035225977300532563,1.0
ENSG00000231711,LINC00899,0.015485346950848813,-0.7660185999810238,0.029233753903044883,0.026466768427204197,0.7660185999810238,0.029233753903044883
ENSG00000182257,PRR34,0.00668314973668212,0.08086468626321874,0.9705349857115231,0.00632900984128796,-0.08086468626321874,0.9705349857115231
ENSG00000273289,AL121672.3,0.0024450547817129707,-0.9070624814362072,0.12482415268681255,0.0047467573809659705,0.9070624814362072,0.12482415268681255
ENSG00000241990,PRR34-AS1,0.11100548708976887,-0.053430137616615525,0.9363063399812788,0.11521674733799218,0.053430137616615525,0.9363063399812788
ENSG00000197182,MIRLET7BHG,0.029014650076327253,-0.8710592395424142,0.005964202111025758,0.05322121911992148,0.8710592395424142,0.005964202111025758
ENSG00000231010,AL121672.1,0.0008150182605709902,0.7653628605352889,0.7333846088125121,0.00043152339826963364,-0.7653628605352889,0.7333846088125121
ENSG00000235159,AL121672.2,0.0014670328690277823,-0.9571031639358036,0.1891805426924245,0.0030206637878874357,0.9571031639358036,0.1891805426924245
ENSG00000186951,PPARA,0.0585183111089971,-0.9108293113591261,0.0017761126705513983,0.11018230769151313,0.9108293113591261,0.0017761126705513983
ENSG00000280384,FP325332.1,0.0022820511295987725,-0.23463713946471287,0.8633466800447289,0.0027329815223743467,0.23463713946471287,0.8633466800447289
ENSG00000205643,CDPF1,0.06259340241185204,1.1252588056216712,0.0001135529788767081,0.028624385418552365,-1.1252588056216712,0.0001135529788767081
ENSG00000130943,PKDREJ,0.00032600730422839607,1.765362860535289,0.42377036101104887,0.0,-1.765362860535289,0.42377036101104887
ENSG00000075234,TTC38,0.17718496984813328,1.4444959610182369,1.4441640110547904e-07,0.06501619200595814,-1.4444959610182369,1.4441640110547904e-07
ENSG00000277232,GTSE1-DT,0.004238094954969149,1.1279329399199955,0.0715174340288848,0.0018699347258350793,-1.1279329399199955,0.0715174340288848
ENSG00000075218,GTSE1,0.018745419993132777,2.7904538414981204,4.661194625295904e-05,0.0025891403896178018,-2.7904538414981204,4.661194625295904e-05
ENSG00000100416,TRMU,0.13643405681958376,0.9312048614454032,0.000908044978170526,0.07148904298000264,-0.9312048614454032,0.000908044978170526
ENSG00000075275,CELSR1,0.012388277560679051,2.054869477730274,2.3718853728016417e-06,0.002876822655130891,-2.054869477730274,2.3718853728016417e-06
ENSG00000075240,GRAMD4,0.03080769024958343,-2.3647876820166296,3.906862244155948e-17,0.15937597509425136,2.3647876820166296,3.906862244155948e-17
ENSG00000100422,CERK,0.18044504289041724,-0.16631337044631556,0.6415316365340544,0.20252831492121473,0.16631337044631556,0.6415316365340544
ENSG00000260708,AL118516.1,0.18989925471304073,0.834422700708795,0.0024041876028323625,0.10644243823984297,-0.834422700708795,0.0024041876028323625
ENSG00000054611,TBC1D22A,0.21483881348651301,-0.4444747547918231,0.14135574253962205,0.2924290228940551,0.4444747547918231,0.14135574253963243
ENSG00000280080,TBC1D22A-AS1,0.0009780219126851882,0.18040035981413105,1.0,0.0008630467965392673,-0.18040035981413105,1.0
ENSG00000218357,LINC01644,0.011410255647993863,4.745184978597659,9.844210717099444e-13,0.0002876822655130891,-4.745184978597659,9.844210717099444e-13
ENSG00000224271,AL117329.1,0.003097069390169763,0.595437859092975,0.4759361213171538,0.0020137758585916238,-0.595437859092975,0.4759361213171538
ENSG00000285707,AL008720.1,0.0,-0.8195996401858672,1.0,0.00014384113275654455,0.8195996401858672,1.0
ENSG00000233179,Z82249.1,0.00016300365211419803,1.1804003598141328,0.6109898784243833,0.0,-1.1804003598141328,0.6109898784243833
ENSG00000219438,TAFA5,0.0,-0.8195996401858672,1.0,0.00014384113275654455,0.8195996401858672,1.0
ENSG00000286381,AL078622.1,0.0011410255647993862,1.1804003598141328,0.5100408834693453,0.00043152339826963364,-1.1804003598141328,0.5100408834693453
ENSG00000188511,C22orf34,0.032437726770725414,0.010475358371820676,1.0,0.03222041373746598,-0.010475358371820676,1.0
ENSG00000279597,AL031593.1,0.0004890109563425941,2.180400359814133,0.201332535324649,0.0,-2.180400359814133,0.201332535324649
ENSG00000212939,Z97192.1,0.018093405384675982,1.2063955683470766,0.003232210876454391,0.007767421168853406,-1.2063955683470766,0.003232210876454391
ENSG00000213279,Z97192.2,0.003912087650740753,0.3648249309515599,0.6804191801436049,0.0030206637878874357,-0.3648249309515599,0.6804191801436049
ENSG00000235111,Z97192.3,0.12958790343078744,0.5362542102271788,0.08069915159927062,0.08932534344181417,-0.5362542102271788,0.08069915159927062
ENSG00000100425,BRD1,0.2099487039230871,0.4013012379410763,0.1969220617995368,0.15894445169598173,-0.4013012379410763,0.1969220617995368
ENSG00000279345,Z98885.3,0.01744139077621919,0.9810915515907253,0.021108085521435404,0.008774309098149217,-0.9810915515907253,0.021108085521435404
ENSG00000260613,Z98885.2,0.0013040292169135843,1.350325361256445,0.5416989706318546,0.00043152339826963364,-1.350325361256445,0.5416989706318546
ENSG00000279494,AL117328.2,0.0016300365211419803,-0.819599640185869,0.3156798941742988,0.0030206637878874357,0.819599640185869,0.3156798941742988
ENSG00000100426,ZBED4,0.059496333021682286,-0.3807153989526557,0.25436588920282743,0.07753037055577751,0.3807153989526557,0.25436588920282743
ENSG00000182858,ALG12,0.08052380414441383,0.49506045423745526,0.12239187864987561,0.05710492970434819,-0.49506045423745526,0.12239187864988364
